"kD" "s" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.49 0.04 0.5 0.5 0.5 0.500000048983156 0.500005451636317 0.500093879878052 0.500210556326131 0.50241532520588 0.504272069399681
0.5 0.04 0.5 0.5 0.5 0.500000044130128 0.500006436324722 0.500113238121062 0.500217852042996 0.502510532891387 0.504301205139324
0.01 0.06 0.5 0.5 0.5 0.500000031649001 0.500000031674361 0.500000031792483 0.50000304531852 0.500003052585822 0.500003082959691
0.02 0.06 0.5 0.5 0.5 0.500000060759749 0.500000061089515 0.500000062392346 0.500006123906687 0.500006178421289 0.500006388893159
0.03 0.06 0.5 0.5 0.5 0.5000000874372 0.500000088690183 0.500000093444612 0.500009238705256 0.500009421940153 0.500010111986651
0.04 0.06 0.5 0.5 0.5 0.500000111785263 0.500000114900246 0.500000126564388 0.500012392919188 0.500012833611696 0.500014481552646
0.05 0.06 0.5 0.5 0.5 0.500000133906692 0.500000140128779 0.500000163398207 0.500015590041862 0.500016471471721 0.500019775003158
0.06 0.06 0.5 0.5 0.5 0.500000153902998 0.500000164776442 0.500000205690724 0.500018833881783 0.500020403022617 0.500026334526167
0.07 0.06 0.5 0.5 0.5 0.500000171874342 0.500000189242349 0.500000255359322 0.500022128592056 0.500024707599049 0.500034588567231
0.08 0.06 0.5 0.5 0.5 0.500000187919447 0.500000213931603 0.500000314579899 0.500025478702943 0.500029479322043 0.500045079502005
0.09 0.06 0.5 0.5 0.5 0.5000002021355 0.500000239263711 0.500000385887918 0.500028889157878 0.50003483079729 0.50005849919779
0.1 0.06 0.5 0.5 0.5 0.500000214618064 0.500000265682166 0.500000472299953 0.500032365353318 0.500040897754911 0.500075734462169
0.11 0.06 0.5 0.5 0.5 0.500000225460987 0.500000293665517 0.500000577462421 0.500035913182894 0.500047844878973 0.500097924572813
0.12 0.06 0.5 0.5 0.5 0.500000234756317 0.500000323740396 0.500000705836138 0.500039539086365 0.500055873137043 0.500126532992795
0.13 0.06 0.5 0.5 0.5 0.500000242594218 0.500000356497036 0.500000862927938 0.500043250103931 0.500065228992948 0.500163434665449
0.14 0.06 0.5 0.5 0.5 0.500000249062893 0.500000392608002 0.500001055583959 0.500047053936546 0.500076215967827 0.500211018374423
0.15 0.06 0.5 0.5 0.5 0.500000254248504 0.500000432851054 0.500001292363803 0.500050959012924 0.500089209099325 0.500272299620598
0.16 0.06 0.5 0.5 0.5 0.500000258235105 0.500000478137318 0.500001584020779 0.500054974564034 0.500104672922444 0.500351031955553
0.17 0.06 0.5 0.5 0.5 0.500000261104566 0.50000052954631 0.500001944121569 0.500059110705955 0.500123183630731 0.500451792041733
0.18 0.06 0.5 0.5 0.5 0.500000262936519 0.500000588369803 0.500002389849423 0.500063378532045 0.500145456023018 0.500579994463933
0.19 0.06 0.5 0.5 0.5 0.500000263808292 0.500000656167186 0.500002943049516 0.500067790215516 0.500172375612198 0.500741766966092
0.2 0.06 0.5 0.5 0.5 0.500000263794857 0.500000734835748 0.50000363159444 0.500072359123566 0.500205035726851 0.500943591008075
0.21 0.06 0.5 0.5 0.5 0.500000262968782 0.500000826700495 0.50000449117377 0.500077099944357 0.500244778355001 0.501191602131795
0.22 0.06 0.5 0.5 0.5 0.500000261400188 0.500000934629575 0.500005567646299 0.500082028828232 0.500293235549133 0.50149047917867
0.23 0.06 0.5 0.5 0.5 0.50000025915671 0.500001062183469 0.500006920139594 0.500087163544645 0.500352365036442 0.501841968220854
