"G" "X" "Y" "A" "D"
96 0.493675951557695 0.506324048442305 0.581083285004388 0.012698321219091
97 0.493441096824293 0.506558903175707 0.581075449713368 0.0131718869290281
98 0.493199088218467 0.506800911781533 0.5810669181083 0.0136600315022337
99 0.49294982049555 0.507050179504451 0.581057641259266 0.0141629816732585
100 0.492693194904664 0.507306805095336 0.581047567736791 0.0146809518588083
101 0.49242911978503 0.50757088021497 0.58103664357022 0.0152141429606429
102 0.492157511167706 0.507842488832294 0.581024812214933 0.0157627411536202
103 0.491878293379477 0.508121706620523 0.581012014529489 0.0163269166651285
104 0.491591399645336 0.508408600354664 0.580998188763779 0.0169068225527074
105 0.491296772685738 0.508703227314262 0.580983270559311 0.0175025934871804
106 0.490994365304586 0.509005634695414 0.580967192962691 0.0181143445491176
107 0.490684140963682 0.509315859036318 0.580949886453422 0.0187421700468886
108 0.490366074339213 0.509633925660787 0.58093127898704 0.0193861423649612
109 0.49004015185568 0.50995984814432 0.580911296054601 0.0200463108514217
110 0.489706372192588 0.510293627807412 0.580889860759461 0.0207227007539446
111 0.489364746759161 0.510635253240839 0.580866893912192 0.0214153122135998
112 0.489015300132328 0.510984699867673 0.580842314144404 0.0221241193259547
113 0.488658070453281 0.511341929546718 0.580816038042097 0.0228490692788929
114 0.488293109778024 0.511706890221976 0.58078798029906 0.0235900815764239
115 0.48792048437746 0.51207951562254 0.580758053890648 0.0243470473575008
116 0.487540274982857 0.512459725017143 0.580726170268133 0.0251198288184765
117 0.487152576972742 0.512847423027258 0.580692239573593 0.0259082587473313
118 0.486757500497705 0.513242499502296 0.580656170875166 0.0267121401771764
119 0.486355170539939 0.513644829460061 0.580617872422212 0.0275312461657942
120 0.485945726904865 0.514054273095135 0.580577251919761 0.0283653197071204
121 0.485529324142668 0.514470675857332 0.580534216821366 0.0292140737796001
122 0.485106131398178 0.514893868601821 0.580488674639266 0.0300771915352901
123 0.484676332188115 0.515323667811886 0.580440533270511 0.0309543266324242
124 0.484240124105356 0.515759875894643 0.580389701337495 0.0318451037129323
125 0.483797718450597 0.516202281549403 0.580336088541107 0.0327491190251234
126 0.483349339792377 0.516650660207623 0.5802796060245 0.0336659411904172
127 0.482895225457229 0.517104774542771 0.580220166745303 0.0345951121116678
128 0.482435624952307 0.517564375047692 0.580157685853879 0.0355361480192745
129 0.48197079932357 0.51802920067643 0.580092081075141 0.0364885406499516
130 0.481501020453212 0.518498979546788 0.580023273091256 0.0374517585517417
131 0.481026570300648 0.518973429699352 0.579951185922488 0.0384252485076279
132 0.480547740091907 0.519452259908094 0.579875747303378 0.0394084370689553
133 0.4800648294628 0.519935170537201 0.579796889051386 0.0404007321888193
134 0.479578145561661 0.520421854438339 0.579714547425158 0.0414015249446412
