"k" "s" "SR"
0.135 0.015 0.500000263905213
0.1375 0.015 0.500000266375558
0.14 0.015 0.500000268788321
0.1425 0.015 0.500000271144763
0.145 0.015 0.500000273446121
0.1475 0.015 0.500000275693606
0.15 0.015 0.500000277888405
0.1525 0.015 0.50000028003168
0.155 0.015 0.500000282124567
0.1575 0.015 0.500000284168179
0.16 0.015 0.500000286163605
0.1625 0.015 0.500000288111908
0.165 0.015 0.500000290014128
0.1675 0.015 0.500000291871281
0.17 0.015 0.500000293684357
0.1725 0.015 0.500000295454326
0.175 0.015 0.50000029718213
0.1775 0.015 0.500000298868691
0.18 0.015 0.500000300514906
0.1825 0.015 0.500000302121648
0.185 0.015 0.500000303689768
0.1875 0.015 0.500000305220094
0.19 0.015 0.500000306713432
0.1925 0.015 0.500000308170563
0.195 0.015 0.500000309592248
0.1975 0.015 0.500000310979224
0.2 0.015 0.500000312332209
0.2025 0.015 0.500000313651895
0.205 0.015 0.500000314938954
0.2075 0.015 0.500000316194039
0.21 0.015 0.500000317417778
0.2125 0.015 0.50000031861078
0.215 0.015 0.500000319773633
0.2175 0.015 0.500000320906904
0.22 0.015 0.50000032201114
0.2225 0.015 0.500000323086867
0.225 0.015 0.500000324134591
0.2275 0.015 0.500000325154801
0.23 0.015 0.500000326147963
0.2325 0.015 0.500000327114525
0.235 0.015 0.500000328054917
0.2375 0.015 0.500000328969549
0.24 0.015 0.500000329858812
0.2425 0.015 0.500000330723082
0.245 0.015 0.500000331562713
0.2475 0.015 0.500000332378043
0.25 0.015 0.500000333169394
0.2525 0.015 0.500000333937067
0.255 0.015 0.50000033468135
0.2575 0.015 0.500000335402512
0.26 0.015 0.500000336100807
0.2625 0.015 0.500000336776471
0.265 0.015 0.500000337429727
0.2675 0.015 0.500000338060779
0.27 0.015 0.500000338669819
0.2725 0.015 0.500000339257022
0.275 0.015 0.500000339822548
0.2775 0.015 0.500000340366545
0.28 0.015 0.500000340889145
0.2825 0.015 0.500000341390465
0.285 0.015 0.500000341870612
0.2875 0.015 0.500000342329676
0.29 0.015 0.500000342767737
0.2925 0.015 0.50000034318486
0.295 0.015 0.500000343581101
0.2975 0.015 0.5000003439565
0.3 0.015 0.500000344311087
0.3025 0.015 0.500000344644882
0.305 0.015 0.500000344957891
0.3075 0.015 0.500000345250112
0.31 0.015 0.500000345521531
0.3125 0.015 0.500000345772123
0.315 0.015 0.500000346001856
0.3175 0.015 0.500000346210686
0.32 0.015 0.500000346398559
0.3225 0.015 0.500000346565414
0.325 0.015 0.500000346711182
0.3275 0.015 0.500000346835782
0.33 0.015 0.50000034693913
0.3325 0.015 0.500000347021129
0.335 0.015 0.500000347081679
0.3375 0.015 0.50000034712067
0.34 0.015 0.500000347137986
0.3425 0.015 0.500000347133506
0.345 0.015 0.5000003471071
0.3475 0.015 0.500000347058634
0.35 0.015 0.500000346987969
0.3525 0.015 0.500000346894959
0.355 0.015 0.500000346779453
0.3575 0.015 0.500000346641297
0.36 0.015 0.500000346480331
0.3625 0.015 0.500000346296392
0.365 0.015 0.500000346089312
0.3675 0.015 0.500000345858921
0.37 0.015 0.500000345605045
0.3725 0.015 0.500000345327506
0.375 0.015 0.500000345026126
0.3775 0.015 0.500000344700723
0.38 0.015 0.500000344351112
0.3825 0.015 0.500000343977107
0.385 0.015 0.500000343578523
0.3875 0.015 0.50000034315517
0.39 0.015 0.500000342706858
0.3925 0.015 0.5000003422334
0.395 0.015 0.500000341734603
0.3975 0.015 0.500000341210278
0.4 0.015 0.500000340660234
0.4025 0.015 0.500000340084283
0.405 0.015 0.500000339482234
0.4075 0.015 0.500000338853901
0.41 0.015 0.500000338199096
0.4125 0.015 0.500000337517635
0.415 0.015 0.500000336809334
0.4175 0.015 0.500000336074011
0.42 0.015 0.50000033531149
