"G" "X" "Y" "O" "A" "D"
107 0.481796119698256 0.170571950614607 0.347740163642412 0.580771051154427 0.0101835987464463
108 0.481360030988652 0.163461919685329 0.355288696803706 0.580655988473021 0.0104988888461186
109 0.480927088928759 0.156492049117534 0.362693879912554 0.58053470844812 0.0108197594808384
110 0.480497661796813 0.149671261448054 0.3699464189845 0.580407320977417 0.0111461986568991
111 0.480072081500831 0.14300760934665 0.377037926541254 0.580273960528077 0.0114781967203873
112 0.479650642766446 0.136508256512326 0.383960941535104 0.580134784725701 0.0118157464823351
113 0.47923360274069 0.130179468212518 0.390708939211467 0.579989972729191 0.0121588432872926
114 0.478821180993243 0.124026611030216 0.397276331363092 0.579839723422025 0.0125074850264845
115 0.478413559890925 0.118054161249971 0.403658457569331 0.579684253452414 0.0128616720975143
116 0.478010885316487 0.112265721203157 0.40985156812924 0.57952379515588 0.0132214073132692
117 0.477613267699045 0.10666404280674 0.415852799487119 0.579358594394084 0.0135866957632646
118 0.477220783320888 0.101251057468253 0.421660143013323 0.579188908343226 0.013957544631135
119 0.476833475863682 0.0960279114918681 0.427272408042648 0.579015003264116 0.0143339629723422
120 0.476451358156474 0.0909950061048507 0.432689180088897 0.578837152284239 0.0147159614564231
121 0.476074414087986 0.0861520412284141 0.437910775149368 0.57865563321983 0.0151035520782546
122 0.47570260064665 0.081498062139445 0.442938190989613 0.578470726463276 0.0154967478428781
123 0.475335850053372 0.0770315082072401 0.447773056259582 0.578282712958185 0.0158955624284082
124 0.474974071954086 0.0727502629393692 0.452417578240237 0.57809187228131 0.0163000098314667
125 0.474617155641665 0.0686517046303252 0.456874489957619 0.577898480847263 0.0167101039994357
126 0.474264972279516 0.0647327569730173 0.461146997332203 0.577702810248735 0.0171258584536377
127 0.473917377102165 0.0609899390639106 0.465238726957623 0.577505125741755 0.0175472859073187
128 0.473574211571181 0.0574194143054307 0.469153675026948 0.577305684882552 0.01797439788206
129 0.473235305467879 0.0540170377821508 0.47289615784874 0.577104736319722 0.0184072043259718
130 0.472900478907211 0.0507784017585594 0.476470764320759 0.576902518742889 0.0188457132367422
131 0.47256954426017 0.047698879014503 0.479882310658053 0.57669925998669 0.0192899302923287
132 0.472242307974712 0.044773663798603 0.483135797605167 0.576495176286909 0.0197398584918024
133 0.471918572287752 0.0419978102392819 0.486236370300389 0.576290471683864 0.0201954978085771
134 0.471598136823039 0.039366268106943 0.489189280903688 0.576085337566661 0.0206568448579935
135 0.471280800071813 0.0368739158690287 0.491999854049803 0.575879952350791 0.0211238925809799
136 0.470966360754908 0.0345155910220152 0.494673455143721 0.575674481280625 0.021596629945272
137 0.470654619066589 0.0322861177209406 0.497215461477718 0.575469076347687 0.0220750416654577
138 0.470345377801704 0.0301803317579944 0.499631236116818 0.575263876315164 0.0225591079429075
139 0.47003844336887 0.0281931029673018 0.501926104472815 0.575059006838856 0.0230488042264651
140 0.469733626693335 0.0263193551536841 0.504105333465418 0.574854580674721 0.0235441009945985
141 0.469430744013843 0.0245540836592807 0.506174113152279 0.574650697963243 0.0240449635595587
142 0.469129617578413 0.0228923706939181 0.508137540697057 0.57444744658108 0.024551351893946
143 0.468830076244338 0.0213293985634702 0.510000606535974 0.574244902550763 0.025063220479957
144 0.468531955987944 0.0198604609356228 0.511768182597823 0.574043130499634 0.0255805181814642
145 0.468235100329852 0.0184809722848716 0.51344501242986 0.573842184159663 0.0261031881389717
146 0.467939360681478 0.0171864756586781 0.515035703081842 0.573642106900331 0.0266311676873938
147 0.467644596618536 0.0159726489048536 0.516544718602369 0.573442932287283 0.027164388296508
148 0.46735067608716 0.0148353094968184 0.5179763750052 0.573244684660048 0.0277027755338533
149 0.467057475548153 0.0137704180886982 0.519334836568044 0.573047379722696 0.028246249049764
150 0.466764880064661 0.0127740809265729 0.520624113332186 0.572851025141849 0.0287947225841583
151 0.466472783338338 0.0118425512358321 0.521848059677861 0.572655621147049 0.0293481039946311
152 0.466181087698851 0.0109722296977444 0.523010373857413 0.572461161129026 0.0299062953053385
153 0.465889704051299 0.0101596641211956 0.524114598375665 0.572267632231901 0.0304691927760978
154 0.465598551785855 0.00940154840825666 0.525164121114494 0.572075015935884 0.0310366869910739
155 0.465307558653675 0.00869472090494274 0.526162177106181 0.571883288627463 0.0316086629663643
156 0.46501666061286 0.0080361622213132 0.527111850867581 0.571692422154539 0.0321850002757476
157 0.464725801647981 0.00742299259804458 0.528016079214422 0.571502384364321 0.03276557319381
158 0.464434933566448 0.00685246888983218 0.528877654482101 0.571313139622211 0.0333502508556197
159 0.464144015774737 0.00632198122950241 0.529699228086037 0.571124649310198 0.0339388974320764
160 0.463853015037288 0.00582904943057933 0.530483314361016 0.570936872303617 0.0345313723200245
161 0.46356190522064 0.00537131918026728 0.531232294624981 0.570749765425393 0.0351275303461828
162 0.463270667025195 0.00494655806940195 0.531948421418302 0.570563283877125 0.0357272219839106
163 0.462979287706787 0.00455265150088912 0.532633822874823 0.570377381646603 0.0363302935818019
164 0.462687760790069 0.00418759851349114 0.533290507185786 0.570192011891536 0.0369365876030753
165 0.462396085775566 0.00384950755352924 0.533920367122227 0.570007127299435 0.0375459428747058
166 0.462104267842073 0.00353659222313332 0.534525184585496 0.569822680423755 0.0381581948452289
167 0.461812317545959 0.00324716703007517 0.535106635159319 0.569638623996526 0.0387731758501367
168 0.461520250518782 0.00297964316094959 0.535666292640203 0.569454911217807 0.039390715383777
169 0.461228087164523 0.00273252429650142 0.536205633526091 0.569271496022407 0.0400106403766655
170 0.460935852357605 0.00250440248521713 0.536726041445955 0.569088333324388 0.040632775477123
171 0.4606435751428 0.00229395408888586 0.537228811515534 0.568905379239935 0.0412569433361572
172 0.460351288437977 0.00209993581166877 0.537715154606701 0.568722591289236 0.0418829648945212
173 0.460059028740621 0.00192118082227643 0.538186201519947 0.568539928578061 0.0425106596708963
174 0.459766835838892 0.00175659497712433 0.538643007051313 0.568357351959758 0.04313984605017
175 0.459474752527993 0.00160515315079687 0.539086553946691 0.568174824178435 0.043770341570805
176 0.459182824332487 0.00146589567878534 0.539517756737878 0.567992309994078 0.0444019632103261
177 0.458891099235158 0.00133792491625722 0.539937465456018 0.567809776290424 0.0450345276679839
178 0.458599627412947 0.00122040191554938 0.540346469219227 0.567627192166356 0.045667851643697
179 0.45830846098043 0.00111254322414132 0.540745499692158 0.567444529011656 0.0463017521124114
180 0.458017653741244 0.0010136178040442 0.541135234416174 0.567261760567896 0.046936046593062
181 0.457727260947826 0.000922944072825031 0.541516300009544 0.567078862975283 0.0475705534113714
182 0.457437339069756 0.000839887065862147 0.541889275237764 0.566895814806249 0.0482050919557669
183 0.457147945570978 0.000763855718888576 0.54225469395469 0.566712597086572 0.0488394829257519
184 0.45685913869609 0.000694300269414428 0.542613047915674 0.56652919330481 0.0494735485721214
185 0.456570977265889 0.000630709775220904 0.542964789464365 0.566345589410804 0.0501071129284648
186 0.45628352048227 0.00057260974777891 0.543310334095173 0.566161773804008 0.0507400020334572
187 0.455996827742593 0.000519559898158572 0.543650062893764 0.565977737312364 0.0513720441434964
188 0.455710958463535 0.000471151992756102 0.543984324858204 0.565793473162454 0.0520030699352979
189 0.455425971914461 0.000427007815966411 0.544313439103619 0.565608976941611 0.0526329126981198
190 0.455141927060279 0.000386777236768891 0.544637696953427 0.56542424655267 0.0532614085153427
191 0.454858882413723 0.000350136376065825 0.544957363920348 0.565239282162018 0.053888396435185
192 0.454576895896994 0.00031678587151418 0.54527268158055 0.565054086141578 0.0545137186303901
193 0.454296024712632 0.000286449236518918 0.545583869344365 0.564868663005326 0.0551372205467705
194 0.454016325223482 0.00025887131000643 0.545891126127102 0.564683019340955 0.0557587510405466
195 0.45373785284161 0.000233816793567673 0.546194631923522 0.564497163737232 0.0563781625044665
196 0.453460661925964 0.000211068872549834 0.546494549289586 0.564311106707602 0.0569953109827383
197 0.453184805688593 0.000190427917680622 0.546791024735095 0.564124860610572 0.0576100562748495
198 0.452910336109194 0.000171710263828927 0.547084190030833 0.563938439567341 0.0582222620283914
199 0.452637303857756 0.000154747062537776 0.547374163433825 0.563751859377189 0.0588317958210432
200 0.452365758225049 0.000139383205008792 0.547661050834274 0.563565137431046 0.0594385292319063
201 0.452095747060692 0.000125476312270432 0.547944946827716 0.563378292623686 0.0600423379024128
202 0.451827316718535 0.000112895789323756 0.548225935715861 0.563191345264937 0.0606431015870629
203 0.451560512009059 0.000101521940128421 0.548504092439554 0.5630043169903 0.0612407041942701
204 0.451295376158517 9.12451403667895e-05 0.5487794834472 0.56281723067132 0.0618350338176205
205 0.451031950774526 8.19650650047217e-05 0.549052167501932 0.562630110326059 0.0624259827578724
206 0.45077027581779 7.35899677527653e-05 0.549322196430717 0.562442981029966 0.063013447536041
207 0.450510389579681 6.60360096203904e-05 0.549589615818501 0.562255868827451 0.0635973288979283
208 0.45025232866535 5.92266338478363e-05 0.549854465650432 0.562068800644412 0.064177531810472
209 0.449996127982096 5.30919845943952e-05 0.550116780905054 0.561881804201979 0.0647539654502989
210 0.449741820732665 4.75683668579268e-05 0.550376592101322 0.561694907931693 0.065326543184872
211 0.449489438413202 4.25977451975034e-05 0.550633925802151 0.561508140892316 0.0658951825466335
212 0.449239010815553 3.81272789288018e-05 0.550888805077127 0.56132153268848 0.0664598052005403
213 0.448990566033637 3.41088915597042e-05 0.5511412499269 0.56113511339132 0.0670203369053989
214 0.448744130473597 3.04988723311003e-05 0.551391277671675 0.560948913461253 0.0675767074693992
215 0.448499728867461 2.72575078247002e-05 0.551638903306122 0.560762963673032 0.0681288507002488
216 0.448257384290036 2.43487416954056e-05 0.551884139822911 0.560577295043177 0.0686767043503016
217 0.448017118178783 2.17398606801175e-05 0.552126998506986 0.560391938759905 0.0692202100570735
218 0.447778950356416 1.94012051274927e-05 0.552367489202584 0.560206926115616 0.0697593132795258
219 0.447542899055973 1.73059023838393e-05 0.552605620554913 0.560022288442016 0.0702939632304937
220 0.447308980948137 1.54296214588342e-05 0.552841400228294 0.559838057047935 0.0708241128056233
221 0.44707721117057 1.3750347480863e-05 0.553074835102494 0.559654263159865 0.0713497185091754
222 0.446847603359047 1.22481745353509e-05 0.55330593144887 0.559470937865262 0.0718707403770383
223 0.446620169680185 1.09051155603449e-05 0.553534695087848 0.55928811205862 0.072387141897282
224 0.446394920865564 9.70492805169699e-06 0.5537611315292 0.559105816390328 0.0728988899285773
225 0.446171866247058 8.63295440540793e-06 0.553985246096461 0.558924081218296 0.0734059546167818
226 0.445951013793196 7.6759757969565e-06 0.554207044036783 0.55874293656235 0.0739083093099919
227 0.445732370146383 6.82207856670892e-06 0.554426530617406 0.558562412061363 0.0744059304723378
228 0.445515940660827 6.06053214676535e-06 0.554643711209886 0.5583825369331 0.0748987975967896
229 0.445301729441017 5.38167762784198e-06 0.554858591363118 0.558203339936729 0.0753868931172274
230 0.445089739380622 4.77682612502482e-06 0.555071176866146 0.558024849337965 0.0758702023200137
231 0.444879972201666 4.23816615848927e-06 0.555281473801663 0.557847092876792 0.0763487132552936
232 0.444672428493879 3.7586793195997e-06 0.555489488591063 0.557670097737704 0.0768224166482345
233 0.444467107754079 3.33206354423645e-06 0.555695228031831 0.557493890522415 0.0772913058104022
234 0.444264008425522 2.95266336380801e-06 0.555898699328002 0.557318497224963 0.0777553765514594
235 0.444063127937085 2.61540655026305e-06 0.556099910114379 0.55714394320915 0.0782146270913569
236 0.443864462742217 2.31574661460209e-06 0.556298868475128 0.556970253188239 0.0786690579731768
237 0.443668008357566 2.04961065898503e-06 0.556495582957341 0.55679745120684 0.079118671976774
238 0.443473759401219 1.81335212063094e-06 0.556690062580093 0.556625560624909 0.079563474033351
239 0.443281709630475 1.603707981404e-06 0.556882316839498 0.556454604103778 0.0800034711410873
240 0.443091851979093 1.41776005037241e-06 0.557072355710204 0.556284603594149 0.0804386722819368
241 0.44290417859398 1.25289995781497e-06 0.557260189643756 0.556115580325959 0.0808690883396932
242 0.442718680871234 1.10679752823372e-06 0.557445829564197 0.555947554800042 0.0812947320194137
243 0.44253534949154 9.77372227011572e-07 0.557629286861261 0.555780546781517 0.0817156177682827
244 0.442354174454846 8.62767400532831e-07 0.557810573381476 0.555614575294803 0.0821317616979855
