"k" "t" "SR"
0.0025 0.01 0.500000000011967
0.005 0.01 0.500000000023545
0.0075 0.01 0.500000000034742
0.01 0.01 0.500000000045567
0.0125 0.01 0.500000000056028
0.015 0.01 0.500000000066132
0.0175 0.01 0.500000000075888
0.02 0.01 0.500000000085304
0.0225 0.01 0.500000000094386
0.025 0.01 0.500000000103143
0.0275 0.01 0.500000000111582
0.03 0.01 0.50000000011971
0.0325 0.01 0.500000000127534
0.035 0.01 0.500000000135061
0.0375 0.01 0.500000000142299
0.04 0.01 0.500000000149253
0.0425 0.01 0.50000000015593
0.045 0.01 0.500000000162337
0.0475 0.01 0.50000000016848
0.05 0.01 0.500000000174366
0.0525 0.01 0.50000000018
0.055 0.01 0.500000000185389
0.0575 0.01 0.500000000190538
0.06 0.01 0.500000000195453
0.0625 0.01 0.50000000020014
0.065 0.01 0.500000000204604
0.0675 0.01 0.500000000208851
0.07 0.01 0.500000000212887
0.0725 0.01 0.500000000216716
0.075 0.01 0.500000000220343
0.0775 0.01 0.500000000223775
0.08 0.01 0.500000000227014
0.0825 0.01 0.500000000230068
0.085 0.01 0.500000000232939
0.0875 0.01 0.500000000235633
0.09 0.01 0.500000000238155
0.0925 0.01 0.500000000240509
0.095 0.01 0.500000000242699
0.0975 0.01 0.500000000244729
0.1 0.01 0.500000000246605
0.1025 0.01 0.500000000248329
0.105 0.01 0.500000000249907
0.1075 0.01 0.500000000251341
0.11 0.01 0.500000000252636
0.1125 0.01 0.500000000253797
0.115 0.01 0.500000000254825
0.1175 0.01 0.500000000255725
0.12 0.01 0.500000000256501
0.1225 0.01 0.500000000257157
0.125 0.01 0.500000000257694
0.1275 0.01 0.500000000258118
0.13 0.01 0.500000000258431
0.1325 0.01 0.500000000258636
0.135 0.01 0.500000000258737
0.1375 0.01 0.500000000258736
0.14 0.01 0.500000000258638
0.1425 0.01 0.500000000258443
0.145 0.01 0.500000000258157
0.1475 0.01 0.50000000025778
0.15 0.01 0.500000000257317
0.1525 0.01 0.50000000025677
0.155 0.01 0.500000000256141
0.1575 0.01 0.500000000255433
0.16 0.01 0.500000000254649
0.1625 0.01 0.500000000253791
0.165 0.01 0.500000000252862
0.1675 0.01 0.500000000251864
0.17 0.01 0.500000000250799
0.1725 0.01 0.500000000249669
0.175 0.01 0.500000000248477
0.1775 0.01 0.500000000247226
0.18 0.01 0.500000000245916
0.1825 0.01 0.500000000244551
0.185 0.01 0.500000000243132
0.1875 0.01 0.500000000241661
0.19 0.01 0.50000000024014
0.1925 0.01 0.500000000238572
0.195 0.01 0.500000000236958
0.1975 0.01 0.500000000235299
0.2 0.01 0.500000000233598
0.2025 0.01 0.500000000231857
0.205 0.01 0.500000000230077
0.2075 0.01 0.50000000022826
0.21 0.01 0.500000000226407
0.2125 0.01 0.50000000022452
0.215 0.01 0.500000000222601
0.2175 0.01 0.500000000220651
0.22 0.01 0.500000000218672
0.2225 0.01 0.500000000216664
0.225 0.01 0.500000000214631
0.2275 0.01 0.500000000212573
0.23 0.01 0.500000000210491
0.2325 0.01 0.500000000208386
0.235 0.01 0.500000000206261
0.2375 0.01 0.500000000204117
0.24 0.01 0.500000000201954
0.2425 0.01 0.500000000199774
0.245 0.01 0.500000000197577
0.2475 0.01 0.500000000195367
0.25 0.01 0.500000000193142
0.2525 0.01 0.500000000190906
0.255 0.01 0.500000000188657
0.2575 0.01 0.500000000186399
0.26 0.01 0.500000000184132
0.2625 0.01 0.500000000181856
0.265 0.01 0.500000000179574
0.2675 0.01 0.500000000177285
0.27 0.01 0.500000000174991
0.2725 0.01 0.500000000172693
0.275 0.01 0.500000000170391
0.2775 0.01 0.500000000168087
0.28 0.01 0.500000000165782
0.2825 0.01 0.500000000163476
0.285 0.01 0.500000000161171
0.2875 0.01 0.500000000158866
0.29 0.01 0.500000000156563
0.2925 0.01 0.500000000154263
0.295 0.01 0.500000000151966
0.2975 0.01 0.500000000149674
0.3 0.01 0.500000000147387
0.3025 0.01 0.500000000145105
0.305 0.01 0.500000000142829
0.3075 0.01 0.500000000140561
0.31 0.01 0.5000000001383
0.3125 0.01 0.500000000136048
0.315 0.01 0.500000000133804
0.3175 0.01 0.50000000013157
0.32 0.01 0.500000000129347
0.3225 0.01 0.500000000127134
0.325 0.01 0.500000000124933
0.3275 0.01 0.500000000122743
0.33 0.01 0.500000000120567
0.3325 0.01 0.500000000118403
0.335 0.01 0.500000000116253
0.3375 0.01 0.500000000114116
0.34 0.01 0.500000000111994
0.3425 0.01 0.500000000109888
0.345 0.01 0.500000000107797
