"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
60 0.249953107505449 0.249814573209813 0.250033848359617 0.249888690136532 6.60176974973038e-07 7.67850201721092e-05 1.98053092491911e-06 0.000230355060516328
61 0.249952101330078 0.249810130929635 0.250034735974033 0.249885985338062 6.76919774992585e-07 7.85846872728726e-05 2.03075932497776e-06 0.000235754061818618
62 0.249951071991887 0.249805585040964 0.250035644499463 0.249883217322667 6.94011332179767e-07 8.04262749226181e-05 2.0820339965393e-06 0.000241278824767854
63 0.249950018964137 0.249800933151551 0.250036574424492 0.249880384626467 7.1146107899054e-07 8.23107472592522e-05 2.13438323697162e-06 0.000246932241777757
64 0.249948941708814 0.249796172815227 0.250037526249134 0.249877485752315 7.29278614829927e-07 8.42390900127203e-05 2.18783584448978e-06 0.000252717270038161
65 0.249947839676411 0.249791301530738 0.250038500485089 0.249874519169074 7.47473711120972e-07 8.62123109608937e-05 2.24242113336292e-06 0.000258636932882681
66 0.249946712305702 0.249786316740572 0.250039497656012 0.249871483310873 7.66056316422461e-07 8.82314403937547e-05 2.29816894926738e-06 0.000264694321181264
67 0.249945559023517 0.249781215829751 0.250040518297789 0.249868376576353 7.85036561597424e-07 9.02975315859693e-05 2.35510968479227e-06 0.000270892594757908
68 0.249944379244512 0.249775996124606 0.250041562958808 0.249865197327902 8.04424765034344e-07 9.2411661277926e-05 2.41327429510303e-06 0.000277234983833778
69 0.24994317237094 0.249770654891531 0.250042632200252 0.249861943890864 8.24231437922993e-07 9.4574930165323e-05 2.47269431376898e-06 0.000283724790495969
70 0.249941937792415 0.249765189335707 0.250043726596388 0.249858614552742 8.44467289586718e-07 9.67884633973779e-05 2.53340186876015e-06 0.000290365390192134
71 0.249940674885673 0.249759596599813 0.250044846734863 0.249855207562384 8.65143232872984e-07 9.90534110837325e-05 2.59542969861895e-06 0.000297160233251198
72 0.249939383014337 0.249753873762702 0.250045993217014 0.249851721129149 8.86270389603925e-07 0.000101370948810122 2.65881116881177e-06 0.000304112846430365
73 0.24993806152867 0.249748017838058 0.250047166658172 0.249848153422064 9.07860096088572e-07 0.00010374227816287 2.72358028826572e-06 0.000311226834488611
74 0.249936709765334 0.249742025773036 0.250048367687988 0.249844502568957 9.29923908698411e-07 0.000106168627262275 2.78977172609523e-06 0.000318505881786826
75 0.249935327047143 0.249735894446865 0.250049596950755 0.24984076665558 9.52473609507831e-07 0.000108651251304932 2.85742082852349e-06 0.000325953753914796
76 0.249933912682809 0.249729620669431 0.25005085510574 0.249836943724712 9.75521212000991e-07 0.000111191433115048 2.92656363600297e-06 0.000333574299345143
77 0.249932465966695 0.249723201179844 0.250052142827527 0.249833031775247 9.99078966846553e-07 0.000113790483704792 2.99723690053966e-06 0.000341371451114377
