"G" "X" "Y" "A" "D"
80 0.498809078401414 0.501190921598586 0.251077088044452 0.00238368005604917
81 0.498764068302206 0.501235931697794 0.251121779776971 0.00247384161197683
82 0.498717346303161 0.501282653696839 0.25116813896524 0.00256743793142694
83 0.498668853775578 0.501331146224422 0.251216221733074 0.00266458710372797
84 0.49861853044502 0.50138146955498 0.251266085664346 0.00276541057016289
85 0.498566314376596 0.501433685623403 0.251317789805192 0.00287003315748394
86 0.498512141962928 0.501487858037072 0.25137139466274 0.00297858310628657
87 0.498455947915085 0.501544052084915 0.251426962200012 0.00309119209369407
88 0.49839766525678 0.50160233474322 0.251484555826686 0.00320799524977364
89 0.498337225322139 0.501662774677861 0.251544240385344 0.00332913116707403
90 0.498274557757357 0.501725442242643 0.251606082132854 0.00345474190264341
91 0.4982095905266 0.5017904094734 0.25167014871648 0.00358497297185601
