"k" "s" "DF"
0.0075 0.27 0.000366160382384156
0.0075 0.2725 0.000374325566770906
0.0075 0.275 0.000382628372679161
0.0075 0.2775 0.000391064800638384
0.0075 0.28 0.000399630117623978
0.0075 0.2825 0.000408318797201472
0.0075 0.285 0.000417124456930219
0.0075 0.2875 0.000426039793175148
0.0075 0.29 0.000435056513534641
0.0075 0.2925 0.000444165267162178
0.0075 0.295 0.000453355573337842
0.0075 0.2975 0.000462615748735418
0.0075 0.3 0.000471932833932727
0.0075 0.3025 0.000481292519824565
0.0075 0.305 0.000490679074724311
0.0075 0.3075 0.000500075273077225
0.0075 0.31 0.000509462326858538
0.0075 0.3125 0.000518819820891905
0.0075 0.315 0.000528125653494437
0.0075 0.3175 0.000537355984037496
0.0075 0.32 0.000546485189198599
0.0075 0.3225 0.000555485829871194
0.0075 0.325 0.000564328630888586
0.0075 0.3275 0.00057298247590151
0.0075 0.33 0.000581414419919261
0.0075 0.3325 0.000589589722173534
0.0075 0.335 0.000597471902083447
0.0075 0.3375 0.000605022821178719
0.0075 0.34 0.000612202793863022
0.0075 0.3425 0.000618970729859674
0.0075 0.345 0.000625284311060052
0.0075 0.3475 0.000631100205279804
0.0075 0.35 0.000636374319101
0.0075 0.3525 0.000641062091528221
0.0075 0.355 0.000645118829598424
0.0075 0.3575 0.000648500086348893
0.0075 0.36 0.000651162080657405
0.0075 0.3625 0.000653062157422977
0.0075 0.365 0.000654159285358456
0.0075 0.3675 0.000654414588330331
0.0075 0.37 0.000653791904730065
0.0075 0.3725 0.00065225836782485
0.0075 0.375 0.00064978499846072
0.0075 0.3775 0.000646347299929325
0.0075 0.38 0.000641925843329805
0.0075 0.3825 0.00063650683043299
0.0075 0.385 0.000630082619969165
0.0075 0.3875 0.000622652202500284
0.0075 0.39 0.000614221608685711
0.0075 0.3925 0.000604804235888681
0.0075 0.395 0.000594421078762866
0.0075 0.3975 0.000583100850753972
0.0075 0.4 0.00057087998536994
0.0075 0.4025 0.000557802508608383
0.0075 0.405 0.000543919777035379
0.0075 0.4075 0.000529290079605038
0.0075 0.41 0.000513978105276371
0.0075 0.4125 0.000498054282670077
0.0075 0.415 0.00048159400223483
0.0075 0.4175 0.000464676735463792
0.0075 0.42 0.000447385069412987
0.0075 0.4225 0.000429803677931011
0.0075 0.425 0.000412018253436019
0.0075 0.4275 0.000394114424633623
0.0075 0.43 0.000376176686160248
0.0075 0.4325 0.000358287365719807
0.0075 0.435 0.000340525652871259
0.0075 0.4375 0.000322966711292638
0.0075 0.44 0.00030568089321741
0.0075 0.4425 0.00028873307097759
0.0075 0.445 0.000272182096393127
0.0075 0.4475 0.000256080394332717
0.0075 0.45 0.000240473692353526
0.0075 0.4525 0.000225400884110609
0.0075 0.455 0.000210894020389538
0.0075 0.4575 0.00019697841830311
0.0075 0.46 0.000183672876508701
0.0075 0.4625 0.000170989982307295
0.0075 0.465 0.000158936495196971
0.0075 0.4675 0.000147513790851312
0.0075 0.47 0.000136718349523293
0.0075 0.4725 0.000126542273458744
0.0075 0.475 0.000116973818944218
0.0075 0.4775 0.000107997930008942
0.0075 0.48 9.95967624589381e-05
0.0075 0.4825 9.17501888831762e-05
0.0075 0.485 8.44362786682175e-05
0.0075 0.4875 7.76317623029649e-05
0.0075 0.49 7.13126042492842e-05
0.0075 0.4925 6.54557244129065e-05
0.0075 0.495 6.00496853223883e-05
0.0075 0.4975 5.51682184913219e-05
0.0075 0.5 5.15334817263383e-05
0.01 0.0025 4.01710405896042e-05
0.01 0.005 4.83073391998911e-05
0.01 0.0075 5.1735304702644e-05
0.01 0.01 5.34507815534834e-05
0.01 0.0125 5.46283853825517e-05
0.01 0.015 5.56522610454915e-05
0.01 0.0175 5.6643707739198e-05
0.01 0.02 5.764132666145e-05
0.01 0.0225 5.86580329845726e-05
