"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
32 0.202293764779863 0.296097022929926 0.202630499282994 0.296408942977228 9.54220158431921e-06 0.000632900305912846 2.86266047529576e-05 0.00189870091773854
33 0.202270880331653 0.296006486031474 0.20263085650622 0.296339253680683 9.3728789992025e-06 0.000678757983493172 2.81186369976075e-05 0.00203627395047951
34 0.202246305764374 0.295909434791167 0.202631223581026 0.296264592276854 9.22289034179074e-06 0.000727888006303027 2.76686710253722e-05 0.00218366401890908
35 0.202219927440728 0.295805420690176 0.202631602735407 0.296184613445703 9.09245908681616e-06 0.000780516462909671 2.72773772604485e-05 0.00234154938872901
36 0.20219162448317 0.295693966319876 0.202631996432541 0.296098949504614 8.98186362469631e-06 0.000836883951325027 2.69455908740889e-05 0.00251065185397508
37 0.20216126841589 0.295574563852432 0.202632407403481 0.296007209193356 8.89143908386566e-06 0.000897246344626542 2.6674317251597e-05 0.00269173903387963
38 0.202128722803592 0.295446673480208 0.202632838683978 0.295908976429014 8.8215792554562e-06 0.000961875571546685 2.64647377663686e-05 0.00288562671464005
39 0.202093842889819 0.295309721832136 0.20263329365593 0.29580380903631 8.7727386139604e-06 0.00103106040783709 2.63182158418812e-05 0.00309318122351126
40 0.20205647523804 0.295163100376946 0.202633776094032 0.295691237460029 8.7454344257389e-06 0.00110510727331259 2.62363032772167e-05 0.00331532181993777
41 0.202016457379347 0.295006163825145 0.202634290218229 0.29557076346767 8.74024893520655e-06 0.00118434102846715 2.62207468056197e-05 0.00355302308540145
42 0.20197361747123 0.294838228543869 0.202634840752674 0.295441858852079 8.75783161622102e-06 0.00126910576342079 2.62734948486631e-05 0.00380731729026236
43 0.201927773972612 0.2946585710012 0.202635432991893 0.295303964145606 8.79890147358839e-06 0.00135976557069857 2.63967044207652e-05 0.00407929671209572
44 0.20187873534111 0.294466426259265 0.202636072874989 0.29515648735931 8.86424937667162e-06 0.00145670529195503 2.65927481300149e-05 0.00437011587586508
