"kD" "kA" "DF"
0.045 0.005 1.02841265754328e-07
0.0475 0.005 1.01989345668471e-07
0.05 0.005 1.0114252303263e-07
0.0525 0.005 1.00300803701351e-07
0.055 0.005 9.94641932228525e-08
0.0575 0.005 9.86326968360279e-08
0.06 0.005 9.78063194674438e-08
0.0625 0.005 9.6985065728359e-08
0.065 0.005 9.61689399117475e-08
0.0675 0.005 9.53579459893498e-08
0.07 0.005 9.45520876087231e-08
0.0725 0.005 9.37513680903229e-08
0.075 0.005 9.29557904245989e-08
0.0775 0.005 9.21653572691002e-08
0.08 0.005 9.13800709456091e-08
0.0825 0.005 9.05999334372945e-08
0.085 0.005 8.98249463858838e-08
0.0875 0.005 8.90551110888631e-08
0.09 0.005 8.82904284967008e-08
0.0925 0.005 8.75308992100753e-08
0.095 0.005 8.6776523477184e-08
0.0975 0.005 8.6027301191003e-08
0.1 0.005 8.52832318866509e-08
0.1025 0.005 8.454431473872e-08
0.105 0.005 8.38105485586841e-08
0.1075 0.005 8.30819317923221e-08
0.11 0.005 8.23584625171614e-08
0.1125 0.005 8.16401384399857e-08
0.115 0.005 8.09269568943515e-08
0.1175 0.005 8.02189148381585e-08
0.12 0.005 7.95160088512621e-08
0.1225 0.005 7.8818235133104e-08
0.125 0.005 7.81255895004116e-08
0.1275 0.005 7.74380673849239e-08
0.13 0.005 7.6755663831176e-08
0.1325 0.005 7.60783734943053e-08
0.135 0.005 7.54061906379323e-08
0.1375 0.005 7.47391091320799e-08
0.14 0.005 7.4077122451131e-08
0.1425 0.005 7.34202236718671e-08
0.145 0.005 7.276840547152e-08
0.1475 0.005 7.21216601259318e-08
0.15 0.005 7.14799795077051e-08
0.1525 0.005 7.08433550844841e-08
0.155 0.005 7.02117779172276e-08
0.1575 0.005 6.95852386586019e-08
0.16 0.005 6.89637275513864e-08
0.1625 0.005 6.83472344269852e-08
0.165 0.005 6.77357487039734e-08
0.1675 0.005 6.71292593867366e-08
0.17 0.005 6.65277550641589e-08
0.1725 0.005 6.59312239083983e-08
0.175 0.005 6.53396536737253e-08
0.1775 0.005 6.47530316954342e-08
0.18 0.005 6.41713448888529e-08
0.1825 0.005 6.35945797483942e-08
0.185 0.005 6.30227223467133e-08
0.1875 0.005 6.24557583339438e-08
0.19 0.005 6.18936729370097e-08
0.1925 0.005 6.13364509590297e-08
0.195 0.005 6.07840767787959e-08
0.1975 0.005 6.02365343503562e-08
0.2 0.005 5.96938072026831e-08
0.2025 0.005 5.91558784394276e-08
0.205 0.005 5.86227307387682e-08
0.2075 0.005 5.80943463533612e-08
0.21 0.005 5.75707071103955e-08
0.2125 0.005 5.70517944117159e-08
0.215 0.005 5.65375892340932e-08
0.2175 0.005 5.60280721295461e-08
0.22 0.005 5.55232232258159e-08
0.2225 0.005 5.50230222269158e-08
0.225 0.005 5.45274484137926e-08
0.2275 0.005 5.40364806451096e-08
0.23 0.005 5.35500973581349e-08
0.2325 0.005 5.30682765697402e-08
0.235 0.005 5.25909958775138e-08
0.2375 0.005 5.21182324610018e-08
0.24 0.005 5.16499630830429e-08
0.2425 0.005 5.11861640912622e-08
0.245 0.005 5.07268114196499e-08
0.2475 0.005 5.02718805902732e-08
0.25 0.005 4.98213467151277e-08
0.2525 0.005 4.93751844980965e-08
0.255 0.005 4.89333682370654e-08
0.2575 0.005 4.84958718261168e-08
0.26 0.005 4.80626687579137e-08
0.2625 0.005 4.76337321261768e-08
0.265 0.005 4.72090346283173e-08
0.2675 0.005 4.67885485681876e-08
0.27 0.005 4.63722458589841e-08
0.2725 0.005 4.59600980262824e-08
0.275 0.005 4.55520762112171e-08
0.2775 0.005 4.51481511737916e-08
0.28 0.005 4.47482932963429e-08
0.2825 0.005 4.43524725871465e-08
0.285 0.005 4.3960658684164e-08
0.2875 0.005 4.35728208589359e-08
0.29 0.005 4.31889280206328e-08
0.2925 0.005 4.28089487202306e-08
0.295 0.005 4.24328511548718e-08
0.2975 0.005 4.20606031723375e-08
0.3 0.005 4.16921722757064e-08
0.3025 0.005 4.13275256281303e-08
0.305 0.005 4.09666300577982e-08
0.3075 0.005 4.0609452063037e-08
0.31 0.005 4.0255957817548e-08
0.3125 0.005 3.99061131758449e-08
0.315 0.005 3.95598836787958e-08
0.3175 0.005 3.92172345593678e-08
