"G" "X" "Y" "A" "D" "O"
114 0.435018198325231 0.0271716861068046 0.53779750126993 0.610608094218347 0.180362112421153
115 0.433797069187234 0.0243955170114464 0.541795496281704 0.610749512338721 0.183908971696949
116 0.432598537747196 0.0218602599318142 0.545529983082992 0.610880559964535 0.187397638124042
117 0.431423049976258 0.0195510107267165 0.54901541411013 0.61100149997236 0.19082649934781
118 0.430270956102838 0.0174529440009539 0.552266259332671 0.61111262229119 0.194194209067183
119 0.429142516833935 0.0155514519471658 0.555296861228898 0.611214239697055 0.197499672271615
120 0.428037909683488 0.013832263637771 0.558121309187174 0.611306683783588 0.200742029919289
121 0.426957235318019 0.0122815451270245 0.560753333064284 0.611390301142615 0.203920643303657
122 0.425900523842368 0.0108859811105164 0.563206215232446 0.611465449780944 0.207035078325846
123 0.424867740960445 0.00963283919645263 0.565492720127699 0.611532495792207 0.210085089861166
124 0.423858793957358 0.0085100180731467 0.567625040070965 0.611591810295939 0.213070606379734
125 0.422873537459872 0.00750608101595266 0.569614755963693 0.611643766650235 0.215991714954426
126 0.421911778941862 0.00661027627169083 0.57147281135538 0.611688737939128 0.218848646764518
127 0.42097328395005 0.00581254589773737 0.573209498332394 0.611727094731452 0.221641763180521
128 0.420057781033045 0.00510352462510162 0.574834453677447 0.611759203104282 0.224371542495155
129 0.419164966363339 0.00447453026873254 0.576356663788334 0.611785422921042 0.22703856734706
130 0.418294508047643 0.00391754713234938 0.577784476914482 0.611806106352015 0.229643512867781
131 0.417446050125816 0.00342520375703773 0.579125621362914 0.611821596623239 0.23218713556863
132 0.416619216262563 0.00299074624965375 0.58038722843415 0.611832226978481 0.234670262972199
133 0.415813613139393 0.00260800830480869 0.581575858967453 0.61183831983823 0.237093783983335
134 0.415028833556839 0.00227137890800124 0.582697532498211 0.611840186139203 0.239458639986208
135 0.414264459258924 0.00197576858154577 0.583757758154106 0.611838124837844 0.241765816647516
136 0.413520063493313 0.00171657491265019 0.584761566537351 0.611832422561486 0.244016336400681
137 0.412795213321542 0.00148964798686563 0.585713541955386 0.611823353391288 0.246211251581971
138 0.412089471694346 0.00129125624197901 0.586617854469797 0.611811178761742 0.248351638186639
139 0.411402399307392 0.00111805315844734 0.587478291331886 0.611796147462217 0.250438590211284
140 0.410733556252713 0.00096704511335092 0.588298287462368 0.611778495726994 0.252473214547518
141 0.41008250348097 0.000835560645814222 0.589080954711832 0.611758447401062 0.254456626391596
142 0.409448804089269 0.000721221312810642 0.589829109708021 0.611736214170007 0.256389945134776
143 0.408832024448791 0.000621914254869381 0.590545300155863 0.611711995843264 0.258274290699743
144 0.408231735185838 0.000535766540890615 0.591231829507097 0.611685980681 0.260110780289314
145 0.407647512029292 0.000461121319367906 0.591890779958943 0.611658345755853 0.261900525514861
146 0.407078936536688 0.000396515769055724 0.592524033776249 0.611629257341679 0.263644629873253
147 0.406525596710429 0.000340660814707411 0.593133292959743 0.611598871322341 0.265344186542643
148 0.405987087514846 0.000292422552142619 0.593720097305148 0.61156733361441 0.267000276469082
149 0.405463011304099 0.000250805310800062 0.594285840914809 0.611534780598417 0.268613966717577
150 0.40495297817015 0.00021493627034642 0.594831787235845 0.611501339554027 0.270186309062954
151 0.404456606219321 0.000184051540150962 0.595359082707314 0.611467129095157 0.271718338797526
152 0.403973521785266 0.000157483605861863 0.595868769104206 0.611432259601674 0.273211073734266
153 0.403503359585518 0.00013465004536108 0.596361794668689 0.611396833644839 0.274665513385761
154 0.403045762828133 0.000115043416520572 0.596839024119549 0.61136094640417 0.276082638300785
155 0.402600383274409 9.82222209870925e-05 0.597301247629573 0.61132468607382 0.277463409541811
156 0.402166881263045 8.38028512994604e-05 0.597749188858092 0.611288134256968 0.278808768288165
157 0.401744925700641 7.14524326610512e-05 0.598183512122445 0.61125136634705 0.280119635550864
158 0.401334194022944 6.08824753732508e-05 0.598604828787884 0.611214451894955 0.28139691198641
159 0.400934372130802 5.18432590514014e-05 0.599013702950827 0.611177454961582 0.282641477797961
160 0.400545154304399 4.4118875104002e-05 0.599410656485378 0.611140434455371 0.283854192713386
161 0.400166243098955 3.75228594059465e-05 0.599796173517981 0.611103444454599 0.285035896030706
162 0.399797349224744 3.18943525167748e-05 0.600170704389999 0.611066534514405 0.286187406722328
163 0.399438191413989 2.70947300921212e-05 0.60053466916302 0.611029749958655 0.287309523590335
164 0.399088496276872 2.30046512409182e-05 0.600888460716889 0.610993132156832 0.28840302546588
165 0.398747998148692 1.95214774421446e-05 0.601232447485825 0.610956718786273 0.28946867144641
166 0.398416438929934 1.65570192188548e-05 0.601566975873688 0.610920544080102 0.290507201165137
167 0.398093567920813 1.40355720529283e-05 0.601892372385324 0.610884639061309 0.291519335087719
