"kD" "kA" "SR"
0.48 0.0025 0.500000011606314
0.4825 0.0025 0.500000011080486
0.485 0.0025 0.500000010572613
0.4875 0.0025 0.50000001008235
0.49 0.0025 0.500000009609346
0.4925 0.0025 0.500000009153245
0.495 0.0025 0.500000008713691
0.4975 0.0025 0.500000008290325
0.5 0.0025 0.500000007882786
0.0025 0.005 0.500000008135872
0.005 0.005 0.500000016068604
0.0075 0.005 0.500000023800343
0.01 0.005 0.500000031333234
0.0125 0.005 0.500000038669433
0.015 0.005 0.500000045811092
0.0175 0.005 0.50000005276037
0.02 0.005 0.500000059519429
0.0225 0.005 0.500000066090431
0.025 0.005 0.500000072475541
0.0275 0.005 0.500000078676927
0.03 0.005 0.500000084696759
0.0325 0.005 0.500000090537207
0.035 0.005 0.500000096200444
0.0375 0.005 0.500000101688642
0.04 0.005 0.500000107003976
0.0425 0.005 0.50000011214862
0.045 0.005 0.50000011712475
0.0475 0.005 0.500000121934541
0.05 0.005 0.500000126580168
0.0525 0.005 0.500000131063806
0.055 0.005 0.50000013538763
0.0575 0.005 0.500000139553811
0.06 0.005 0.500000143564523
0.0625 0.005 0.500000147421937
0.065 0.005 0.500000151128221
0.0675 0.005 0.500000154685544
0.07 0.005 0.500000158096071
0.0725 0.005 0.500000161361963
0.075 0.005 0.500000164485382
0.0775 0.005 0.500000167468485
0.08 0.005 0.500000170313426
0.0825 0.005 0.500000173022356
0.085 0.005 0.500000175597421
0.0875 0.005 0.500000178040764
0.09 0.005 0.500000180354524
0.0925 0.005 0.500000182540837
0.095 0.005 0.500000184601829
0.0975 0.005 0.500000186539627
0.1 0.005 0.500000188356348
0.1025 0.005 0.500000190054107
0.105 0.005 0.50000019163501
0.1075 0.005 0.500000193101159
0.11 0.005 0.500000194454648
0.1125 0.005 0.500000195697566
0.115 0.005 0.500000196831994
0.1175 0.005 0.500000197860005
0.12 0.005 0.500000198783665
0.1225 0.005 0.500000199605033
0.125 0.005 0.500000200326158
0.1275 0.005 0.500000200949083
0.13 0.005 0.50000020147584
0.1325 0.005 0.500000201908454
0.135 0.005 0.500000202248938
0.1375 0.005 0.500000202499299
0.14 0.005 0.50000020266153
0.1425 0.005 0.500000202737619
0.145 0.005 0.500000202729539
0.1475 0.005 0.500000202639254
0.15 0.005 0.500000202468718
0.1525 0.005 0.500000202219872
0.155 0.005 0.500000201894648
0.1575 0.005 0.500000201494962
0.16 0.005 0.500000201022723
0.1625 0.005 0.500000200479824
0.165 0.005 0.500000199868146
0.1675 0.005 0.500000199189558
0.17 0.005 0.500000198445916
0.1725 0.005 0.500000197639061
0.175 0.005 0.500000196770822
0.1775 0.005 0.500000195843012
0.18 0.005 0.500000194857433
0.1825 0.005 0.500000193815868
0.185 0.005 0.50000019272009
0.1875 0.005 0.500000191571853
0.19 0.005 0.500000190372897
0.1925 0.005 0.500000189124949
0.195 0.005 0.500000187829715
0.1975 0.005 0.50000018648889
0.2 0.005 0.500000185104149
0.2025 0.005 0.500000183677153
0.205 0.005 0.500000182209544
0.2075 0.005 0.500000180702949
0.21 0.005 0.500000179158977
0.2125 0.005 0.500000177579218
0.215 0.005 0.500000175965246
0.2175 0.005 0.500000174318617
0.22 0.005 0.500000172640867
0.2225 0.005 0.500000170933517
0.225 0.005 0.500000169198064
0.2275 0.005 0.500000167435992
0.23 0.005 0.500000165648762
0.2325 0.005 0.500000163837817
0.235 0.005 0.500000162004581
0.2375 0.005 0.500000160150457
0.24 0.005 0.50000015827683
0.2425 0.005 0.500000156385063
0.245 0.005 0.5000001544765
0.2475 0.005 0.500000152552464
0.25 0.005 0.500000150614258
0.2525 0.005 0.500000148663164
0.255 0.005 0.500000146700443
0.2575 0.005 0.500000144727334
0.26 0.005 0.500000142745058
0.2625 0.005 0.50000014075481
0.265 0.005 0.500000138757768
0.2675 0.005 0.500000136755085
0.27 0.005 0.500000134747894
