"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D1O" "A2D1O" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y" "A1D2O" "A2D2O"
35 0.33720971792356 0.14476074139622 0.296881237328188 0.129437068757808 0.045071776746535 0.016282586175859 1.65054666000211e-05 0.00757271245135757 1.37321230021739e-05 0.00352996853427206 3.57842767978894e-05 0.0191870997789814
36 0.338694806941445 0.141034553703948 0.2936004725479 0.124419340813414 0.0504388548175167 0.0176612108626087 1.85540836447765e-05 0.00851913599464734 1.51922929759431e-05 0.00390655252211815 4.04699579583863e-05 0.0216495306912957
37 0.339949918254864 0.137278582767837 0.289596643103496 0.11928807827988 0.0563694878341468 0.0191305376955545 2.08453687939062e-05 0.00957584264726168 1.67720828500805e-05 0.0043144277775575 4.57640235316382e-05 0.0244114611368061
38 0.34096139202042 0.133485269268922 0.284826328172067 0.114038020229808 0.0628992467593738 0.0206883368010972 2.34024421405213e-05 0.0107519492449373 1.84700633039656e-05 0.00475306048516473 5.17372631175984e-05 0.0275007639090783
39 0.341715765394781 0.129647763336878 0.279250890488169 0.1086670641306 0.0700588690721023 0.0223297856170461 2.62488484640962e-05 0.0120562166416415 2.02810893833152e-05 0.00522088069299604 5.84654560089733e-05 0.0309452786134697
40 0.342200271391051 0.125760263593215 0.272838951210475 0.103177052972426 0.0778720513729946 0.0240469872759095 2.94080575348175e-05 0.0134966974884473 2.21954634429099e-05 0.00571505342284612 6.60287091615425e-05 0.0347719841258663
41 0.342403442018604 0.121818387546756 0.265569173303866 0.0975745614261598 0.0863530000135941 0.0258285213291463 3.29028539989665e-05 0.0150803257364694 2.41981151782415e-05 0.00623125700044215 7.4510446818658e-05 0.0390059892121328
42 0.342315802468332 0.117819557398944 0.257433237265682 0.0918716198336814 0.0955038507774758 0.0276590747363487 3.67546266619808e-05 0.0168124597532223 2.62678785610126e-05 0.00676349168222555 8.39960014249298e-05 0.043669353954218
43 0.341930629425148 0.113763378176017 0.248438830685896 0.0860862987078136 0.105312123133312 0.0295192107458692 4.09825791976991e-05 0.0186963997022884 2.83769674044525e-05 0.0073039477814121 9.45707701886448e-05 0.0487797747748866
44 0.341244731243294 0.109651978343254 0.238612410520014 0.0802430646655434 0.115748428050989 0.031385338822057 4.5602897904106e-05 0.020732909190808 3.04907676851219e-05 0.00784296692015571 0.000106317926027196 0.0543491894691928
45 0.340259192670481 0.105490277997809 0.228001445091473 0.0743728154228786 0.126764690842144 0.0332299471885607 5.06279253563903e-05 0.0229197797713067 3.25680697748051e-05 0.00836913104061619 0.000119315706294366 0.0603823833497719
46 0.33898001484419 0.101286147929705 0.216675815546573 0.0685125107858921 0.138293169702862 0.0350221480784847 5.60653992900741e-05 0.025251482878783 3.45618511259293e-05 0.00886950958104247 0.000133634346744293 0.0668756997635726
47 0.337418575676135 0.0970504257522402 0.204728068026516 0.0627043415732467 0.150246534259181 0.0367285626425909 6.19178210885074e-05 0.0277189551964341 3.64206845991168e-05 0.00933008431746424 0.000149332778666405 0.0738159733068651
48 0.335591839559088 0.0927967638865857 0.192272269198036 0.0569944197943985 0.162519207369757 0.0383145378850256 6.81820154545549e-05 0.0303095585613228 3.80907876257255e-05 0.00973635332184675 0.000166455258737939 0.0811798073911603
