"G" "DA2D2" "DA2Y" "DD2Y"
56 0.389065698270684 0.137497808469219 0.171876244683927
57 0.384707315209251 0.134248006397513 0.162493185888197
58 0.380512507687805 0.131348965218442 0.154217213829421
59 0.376551672801168 0.128818994769112 0.147031484141289
60 0.37287997763266 0.126662624920014 0.140893427344169
61 0.369537205253209 0.124872400911119 0.135740002010707
62 0.366548409008137 0.123431088759465 0.131493281767331
63 0.363925203784025 0.122314046439293 0.128065889378466
64 0.361667500807539 0.121491552292413 0.125365909489112
65 0.359765494727108 0.120930933648814 0.123301044371287
66 0.358201732127265 0.1205983945817 0.121781902057431
67 0.356953122268863 0.120460493398621 0.120724409174808
68 0.355992787275163 0.120485262569951 0.120051415129345
69 0.355291685022862 0.120642994161651 0.119693599872287
70 0.354819970083152 0.120906732711113 0.119589818285365
71 0.354548084189219 0.12125252657899 0.119687016179682
72 0.354447587183222 0.121659490494192 0.119939842273417
73 0.354491752464534 0.122109728700242 0.120310062813932
74 0.354655958456749 0.122588161911626 0.120765865033363
75 0.354917910652303 0.123082293828489 0.121281115345452
76 0.355257728554304 0.123581945374214 0.121834619904934
77 0.355657929395966 0.124078977819285 0.122409419743021
78 0.356103336785509 0.124567019906219 0.122992140404346
79 0.356580938102576 0.125041209126037 0.1235724066814
80 0.357079710067403 0.125497953396334 0.124142326295989
81 0.357590427750518 0.125934716447646 0.124696041753458
82 0.358105468584048 0.126349828093024 0.125229346633028
83 0.358618619767223 0.126742319081221 0.125739360860453
84 0.359124894847198 0.127111779271893 0.126224258686641
85 0.359620363173694 0.127458237295384 0.126683042887608
86 0.360101994317344 0.127782059564924 0.127115358892118
87 0.360567518339665 0.128083866411795 0.127521342974863
88 0.36101530193744 0.128364463149474 0.127901499212008
89 0.361444239889571 0.1286247839924 0.128256600505188
90 0.36185366085087 0.128865846923523 0.128587609588798
91 0.362243246313794 0.129088717796965 0.128895616512922
92 0.362612961453625 0.12929448216098 0.129181789622899
93 0.362962996551068 0.129484223480541 0.129447337528616
94 0.363293717722025 0.129659006621384 0.129693479970135
95 0.363605625757031 0.129819865624387 0.12992142584327
96 0.363899321967223 0.12996779494889 0.130132356953337
97 0.364175480038779 0.130103743495693 0.130327416322727
98 0.364434823005693 0.130228610835554 0.130507700093834
