"kD" "kA" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.23 0.02 0.5 0.5 0.5 0.500000045793589 0.500000115588288 0.500006480618158 0.500016015877375 0.500041323305119 0.501849454821698
0.24 0.02 0.5 0.5 0.5 0.500000044615451 0.500000123669099 0.500008695342833 0.500016832967528 0.50004767640316 0.502402226445474
0.25 0.02 0.5 0.5 0.5 0.500000043307065 0.500000133082678 0.500011728284572 0.500017661026108 0.500055401666933 0.50304906833335
0.26 0.02 0.5 0.5 0.5 0.500000041884122 0.500000144216155 0.500015904675124 0.500018500124781 0.500064909201658 0.503768438915436
0.27 0.02 0.5 0.5 0.5 0.500000040362031 0.500000157577957 0.500021687167922 0.500019350325315 0.500076755727673 0.504525795829185
0.28 0.02 0.5 0.5 0.5 0.500000038755873 0.500000173843477 0.500029736238126 0.500020211678533 0.500091702573949 0.5052803705197
0.29 0.02 0.5 0.5 0.5 0.500000037080348 0.500000193920299 0.500040997010482 0.500021084223203 0.50011079694213 0.505994282380699
0.3 0.02 0.5 0.5 0.5 0.500000035349731 0.500000219042336 0.50005682279594 0.500021967984853 0.500135484297452 0.506639841316624
0.31 0.02 0.5 0.5 0.5 0.500000033577822 0.500000250907116 0.500079147613907 0.500022862974538 0.500167760021419 0.507202411283065
0.32 0.02 0.5 0.5 0.5 0.500000031777899 0.500000291878157 0.500110719487578 0.500023769187544 0.500210365161441 0.507679077232298
0.33 0.02 0.5 0.5 0.5 0.500000029962672 0.500000345286589 0.50015539867022 0.500024686602039 0.50026701923329 0.508075117523239
0.34 0.02 0.5 0.5 0.5 0.500000028144233 0.50000041588578 0.500218500922783 0.500025615177689 0.500342653689069 0.508400260530037
0.35 0.02 0.5 0.5 0.5 0.500000026334017 0.500000510544429 0.500307110052379 0.500026554854243 0.500443550577023 0.508665793271805
0.36 0.02 0.5 0.5 0.5 0.500000024542759 0.500000639315582 0.500430177894606 0.500027505550108 0.50057719448228 0.508882750756903
0.37 0.02 0.5 0.5 0.5 0.500000022780451 0.500000817104907 0.5005980730812 0.500028467160944 0.500751535703955 0.509060987081359
0.38 0.02 0.5 0.5 0.5 0.500000021056313 0.50000106630504 0.500821103425002 0.500029439558292 0.500973343960911 0.509208827781173
0.39 0.02 0.5 0.5 0.5 0.500000019378754 0.500001421004554 0.501106640412134 0.500030422588299 0.501245619048623 0.509333051917369
0.4 0.02 0.5 0.5 0.5 0.500000017755347 0.500001933790726 0.501455155212694 0.500031416070571 0.501564790376004 0.509439035474584
0.41 0.02 0.5 0.5 0.5 0.500000016192806 0.500002686866933 0.501856779310791 0.500032419797228 0.501919360474517 0.509530957077504
0.42 0.02 0.5 0.5 0.5 0.500000014696968 0.500003810408263 0.502290980662806 0.500033433532237 0.502291643996681 0.509612013224311
0.43 0.02 0.5 0.5 0.5 0.500000013272782 0.50000551313705 0.502730912877048 0.500034457011128 0.502662492035274 0.509684617545601
0.44 0.02 0.5 0.5 0.5 0.500000011924301 0.500008133587459 0.503150819738419 0.500035489941218 0.503016561849804 0.509750573615357
0.45 0.02 0.5 0.5 0.5 0.500000010654686 0.500012226297252 0.50353245523331 0.500036532002505 0.503345285946463 0.509811218687051
0.46 0.02 0.5 0.5 0.5 0.500000009466214 0.500018706232127 0.503867495011777 0.500037582849419 0.503646655323179 0.509867539626079
0.47 0.02 0.5 0.5 0.5 0.500000008360295 0.500029087487693 0.504156047124965 0.50003864211369 0.503923030281252 0.509920264091255
0.48 0.02 0.5 0.5 0.5 0.500000007337498 0.50004586550106 0.504403376223265 0.500039709408628 0.504178686637304 0.509969930671691
0.49 0.02 0.5 0.5 0.5 0.500000006397579 0.500073090348922 0.504616805262085 0.500040784335195 0.504418078463374 0.510016941736956
0.5 0.02 0.5 0.5 0.5 0.500000005539527 0.500117115910627 0.504803656152246 0.500041866490338 0.504644972125733 0.510061602492495
0.01 0.03 0.5 0.5 0.5 0.500000006135549 0.500000006251281 0.500000006865182 0.500000591065271 0.500000609604514 0.500000721431968
0.02 0.03 0.5 0.5 0.5 0.500000011811863 0.500000012384761 0.500000016181002 0.500001191938119 0.500001266391573 0.500001793815978
0.03 0.03 0.5 0.5 0.5 0.50000001704074 0.500000018432146 0.500000029054452 0.50000180294519 0.500001978365373 0.500003400467603
0.04 0.03 0.5 0.5 0.5 0.500000021834302 0.500000024430123 0.500000047094012 0.500002424431792 0.500002755319676 0.50000582265608
0.05 0.03 0.5 0.5 0.5 0.50000002620499 0.500000030421574 0.500000072646212 0.500003056763378 0.500003609331422 0.500009493499964
0.06 0.03 0.5 0.5 0.5 0.500000030165543 0.500000036457166 0.500000109148971 0.500003700327179 0.500004555416521 0.500015082358624
0.07 0.03 0.5 0.5 0.5 0.500000033728995 0.500000042597429 0.500000161662205 0.500004355533987 0.500005612409579 0.500023627234815
0.08 0.03 0.5 0.5 0.5 0.500000036908658 0.50000004891552 0.500000237669106 0.500005022820129 0.500006804155977 0.500036742538354
0.09 0.03 0.5 0.5 0.5 0.500000039718102 0.500000055500912 0.500000348293144 0.500005702649629 0.500008161144099 0.500056944209252
0.1 0.03 0.5 0.5 0.5 0.500000042171145 0.500000062464374 0.500000510157555 0.500006395516602 0.500009722764493 0.500088154678047
0.11 0.03 0.5 0.5 0.5 0.500000044281833 0.500000069944762 0.500000748243874 0.500007101947894 0.500011540471676 0.500136475128127
0.12 0.03 0.5 0.5 0.5 0.500000046064417 0.500000078118375 0.500001100313855 0.500007822506 0.500013682259889 0.500211332868073
