"k" "c" "DF"
0.005 0.515 3.61498252584525e-05
0.01 0.515 4.16068594978057e-05
0.015 0.515 4.80267659425303e-05
0.02 0.515 5.55912119063704e-05
0.025 0.515 6.4518425089094e-05
0.03 0.515 7.50709631950887e-05
0.035 0.515 8.75652071646181e-05
0.04 0.515 0.00010238297005963
0.045 0.515 0.000119985701947746
0.05 0.515 0.000140931877486443
0.055 0.515 0.000165898279629842
0.06 0.515 0.000195706041558027
0.065 0.515 0.000231352479532841
0.07 0.515 0.000274049938717275
0.075 0.515 0.000325273073156966
0.08 0.515 0.000386816171466781
0.085 0.515 0.000460862286570166
0.09 0.515 0.000550065970709979
0.095 0.515 0.000657651255625677
0.1 0.515 0.000787525992098389
0.105 0.515 0.00094441252613267
0.11 0.515 0.00113399257489424
0.115 0.515 0.00136306055681724
0.12 0.515 0.00163967384209844
0.125 0.515 0.00197327960423865
0.13 0.515 0.00237478537149352
0.135 0.515 0.0028565235983715
0.14 0.515 0.00343204035686307
0.145 0.515 0.00411561777171664
0.15 0.515 0.00492142646913446
0.155 0.515 0.00586221131244418
0.16 0.515 0.00694746016140931
0.165 0.515 0.00818111167771187
0.17 0.515 0.00955903344985059
0.175 0.515 0.0110667233987794
0.18 0.515 0.0126778822066394
0.185 0.515 0.0143545521669651
0.19 0.515 0.0160493015844939
0.195 0.515 0.0177094313954346
0.2 0.515 0.0192825367547527
0.205 0.515 0.0207222514806806
0.21 0.515 0.0219928984465344
0.215 0.515 0.0230721287225239
0.22 0.515 0.0239512760370756
0.225 0.515 0.0246337799564982
0.23 0.515 0.0251324068472343
0.235 0.515 0.025466059406717
0.24 0.515 0.0256567975273919
0.245 0.515 0.0257274335663403
0.25 0.515 0.0256998254642544
0.255 0.515 0.02559382613031
0.26 0.515 0.0254267631433028
0.265 0.515 0.0252132997530085
0.27 0.515 0.0249655411976219
0.275 0.515 0.0246932788778151
0.28 0.515 0.0244042958740698
0.285 0.515 0.0241046841234933
0.29 0.515 0.0237991440846425
0.295 0.515 0.0234912520545274
0.3 0.515 0.0231836895786497
0.305 0.515 0.0228784349382775
0.31 0.515 0.0225769196873398
0.315 0.515 0.0222801545592475
0.32 0.515 0.0219888294248669
0.325 0.515 0.0217033917949286
0.33 0.515 0.0214241079021401
0.335 0.515 0.0211511098382504
0.34 0.515 0.0208844316546069
0.345 0.515 0.0206240368105687
0.35 0.515 0.0203698388941433
0.355 0.515 0.0201217171489904
0.36 0.515 0.0198795280187183
0.365 0.515 0.0196431136562659
0.37 0.515 0.0194123081348017
0.375 0.515 0.0191869419285883
0.38 0.515 0.0189668450999126
0.385 0.515 0.018751849524711
0.39 0.515 0.018541790409139
0.395 0.515 0.018336507287303
0.4 0.515 0.0181358446427522
0.405 0.515 0.0179396522599978
0.41 0.515 0.0177477853847455
0.415 0.515 0.0175601047507182
0.42 0.515 0.0173764765153241
0.425 0.515 0.0171967721347786
0.43 0.515 0.0170208682006384
0.435 0.515 0.0168486462533542
0.44 0.515 0.0166799925837712
0.445 0.515 0.0165147980301425
0.45 0.515 0.0163529577757615
0.455 0.515 0.0161943711505924
0.46 0.515 0.0160389414390304
0.465 0.515 0.0158865756950758
0.47 0.515 0.0157371845655939
0.475 0.515 0.0155906821219432
0.48 0.515 0.015446985699975
0.485 0.515 0.0153060157482402
0.49 0.515 0.0151676956841275
0.495 0.515 0.0150319517575979
0.5 0.515 0.0148987129221464
0.005 0.52 3.84581238382021e-05
0.01 0.52 4.64080908483288e-05
0.015 0.52 5.62360884395386e-05
0.02 0.52 6.84119546808339e-05
0.025 0.52 8.35296425171922e-05
0.03 0.52 0.000102341547162788
0.035 0.52 0.000125802667172959
0.04 0.52 0.000155127462654735
0.045 0.52 0.000191863088088158
0.05 0.52 0.000237983692924544
0.055 0.52 0.000296011722757521
0.06 0.52 0.000369173615254907
0.065 0.52 0.000461598910946739
0.07 0.52 0.000578573421301221
0.075 0.52 0.000726858338750232
0.08 0.52 0.000915087286409875
