"k" "w" "z"
0.0025 0.175 7.44117779264328e-08
0.0025 0.17625 7.36953789356753e-08
0.0025 0.1775 7.2990184609634e-08
0.0025 0.17875 7.22959476901148e-08
0.0025 0.18 7.16124280274154e-08
0.0025 0.18125 7.0939392327887e-08
0.0025 0.1825 7.02766139121697e-08
0.0025 0.18375 6.96238724835722e-08
0.0025 0.185 6.89809539060964e-08
0.0025 0.18625 6.83476499916528e-08
0.0025 0.1875 6.77237582960242e-08
0.0025 0.18875 6.71090819231484e-08
0.0025 0.19 6.65034293373465e-08
0.0025 0.19125 6.59066141831128e-08
0.0025 0.1925 6.53184551121057e-08
0.0025 0.19375 6.47387756170245e-08
0.0025 0.195 6.41674038720404e-08
0.0025 0.19625 6.36041725794887e-08
0.0025 0.1975 6.30489188225322e-08
0.0025 0.19875 6.25014839235361e-08
0.0025 0.2 6.19617133078831e-08
0.0025 0.20125 6.14294563730049e-08
0.0025 0.2025 6.09045663623811e-08
0.0025 0.20375 6.03869002442971e-08
0.0025 0.205 5.98763185951532e-08
0.0025 0.20625 5.93726854871215e-08
0.0025 0.2075 5.88758683799654e-08
0.0025 0.20875 5.8385738016847e-08
0.0025 0.21 5.79021683239436e-08
0.0025 0.21125 5.74250363137198e-08
0.0025 0.2125 5.69542219916964e-08
0.0025 0.21375 5.64896082665729e-08
0.0025 0.215 5.60310808635599e-08
0.0025 0.21625 5.55785282407915e-08
0.0025 0.2175 5.51318415086883e-08
0.0025 0.21875 5.46909143521568e-08
0.0025 0.22 5.42556429554986e-08
0.0025 0.22125 5.38259259299285e-08
0.0025 0.2225 5.34016642435986e-08
0.0025 0.22375 5.29827611540141e-08
0.0025 0.225 5.25691221427636e-08
0.0025 0.22625 5.21606548524604e-08
0.0025 0.2275 5.17572690258123e-08
0.0025 0.22875 5.13588764467343e-08
0.0025 0.23 5.09653908834278e-08
0.0025 0.23125 5.05767280333489e-08
0.0025 0.2325 5.01928054699917e-08
0.0025 0.23375 4.98135425914182e-08
0.0025 0.235 4.94388605704704e-08
0.0025 0.23625 4.90686823065971e-08
0.0025 0.2375 4.87029323792381e-08
0.0025 0.23875 4.83415370027042e-08
0.0025 0.24 4.79844239824998e-08
0.0025 0.24125 4.76315226730368e-08
0.0025 0.2425 4.72827639366798e-08
0.0025 0.24375 4.69380801040852e-08
0.0025 0.245 4.65974049357788e-08
0.0025 0.24625 4.62606735849293e-08
